customer_id,customer_tier,acquisition_channel,promo_order_pct,buyer_segment,order_count,promo_order_count,total_gross,total_net,total_disc_received
81,Bronze,Paid,100,Promo-Only,1,1,40.59,36.53,4.06
78,Bronze,Organic,100,Promo-Only,1,1,350.88,287.72,63.16
124,Bronze,Referral,100,Promo-Only,1,1,246.63,221.97,24.66
243,Bronze,Paid,100,Promo-Only,1,1,235.32,200.02,35.3
475,Bronze,Organic,100,Promo-Only,1,1,319.75,223.82,95.93
480,Bronze,Paid,100,Promo-Only,1,1,857.09,771.38,85.71
584,Bronze,Referral,100,Promo-Only,1,1,141.74,92.13,49.61
602,Bronze,Paid,100,Promo-Only,1,1,198.74,139.12,59.62
612,Bronze,Paid,100,Promo-Only,1,1,182.94,164.65,18.29
620,Bronze,Referral,100,Promo-Only,1,1,454.68,386.48,68.2
666,Bronze,Organic,100,Promo-Only,1,1,89.5,78.76,10.74
808,Bronze,Organic,100,Promo-Only,1,1,601.51,571.43,30.08
898,Bronze,Organic,100,Promo-Only,1,1,171.66,163.08,8.58
945,Bronze,Paid,100,Promo-Only,1,1,47.06,30.59,16.47
1124,Bronze,Referral,100,Promo-Only,1,1,104.3,85.53,18.77
472,Bronze,Paid,75,Promo-Heavy,4,3,642.19,563.87,78.32
302,Bronze,Organic,66.7,Promo-Heavy,3,2,1158.29,1108.49,49.8
68,Bronze,Referral,66.7,Promo-Heavy,3,2,502.98,444.87,58.11
1013,Bronze,Paid,60,Promo-Heavy,5,3,1879.93,1697.5,182.43
1041,Bronze,Organic,50,Promo-Heavy,2,1,1877.17,1723.43,153.74
1150,Bronze,Organic,50,Promo-Heavy,2,1,666.19,607.17,59.02
1154,Bronze,Paid,50,Promo-Heavy,2,1,787.13,661.14,125.99
1189,Bronze,Organic,50,Promo-Heavy,2,1,323.54,308.81,14.73
902,Bronze,Paid,50,Promo-Heavy,2,1,387.09,362.7,24.39
809,Bronze,Paid,50,Promo-Heavy,2,1,1039.84,964.23,75.61
793,Bronze,Organic,50,Promo-Heavy,2,1,266,252.05,13.95
684,Bronze,Referral,50,Promo-Heavy,2,1,453.89,425.32,28.57
617,Bronze,Paid,50,Promo-Heavy,2,1,147.1,136.38,10.72
1,Bronze,Paid,50,Promo-Heavy,2,1,129.89,120.93,8.96
23,Bronze,Referral,50,Promo-Heavy,2,1,1116.43,1109.92,6.51
27,Bronze,Paid,50,Promo-Heavy,2,1,236.24,224.16,12.08
32,Bronze,Paid,50,Promo-Heavy,2,1,494.93,483.18,11.75
147,Bronze,Referral,50,Promo-Heavy,2,1,327.46,296.15,31.31
114,Bronze,Organic,50,Promo-Heavy,2,1,628.05,627.73,0.32
235,Bronze,Paid,50,Promo-Heavy,2,1,1997.89,1862.86,135.03
191,Bronze,Paid,50,Promo-Heavy,2,1,1515.5,1470.75,44.75
530,Bronze,Referral,50,Promo-Heavy,4,2,689.86,637.73,52.13
608,Bronze,Paid,50,Promo-Heavy,4,2,1866.82,1710.51,156.31
562,Bronze,Referral,50,Promo-Heavy,6,3,2091.53,1729.73,361.8
580,Bronze,Referral,50,Promo-Heavy,2,1,230.45,220.09,10.36
312,Bronze,Paid,50,Promo-Heavy,4,2,2451.73,2261.56,190.17
343,Bronze,Paid,50,Promo-Heavy,2,1,317.79,285.14,32.65
371,Bronze,Referral,50,Promo-Heavy,2,1,863.5,861.25,2.25
372,Bronze,Referral,50,Promo-Heavy,2,1,642.8,571.77,71.03
380,Bronze,Paid,50,Promo-Heavy,2,1,536.34,490.6,45.74
446,Bronze,Organic,50,Promo-Heavy,2,1,405.1,385.43,19.67
641,Bronze,Organic,44.4,Mixed,9,4,1874.32,1738.68,135.64
455,Bronze,Referral,42.9,Mixed,7,3,2073.39,1789.78,283.61
422,Bronze,Organic,40,Mixed,5,2,1657.23,1644.65,12.58
478,Silver,Paid,40,Mixed,10,4,3614.86,3162.16,452.7
1044,Bronze,Organic,40,Mixed,5,2,1196.76,1061.65,135.11
408,Silver,Paid,38.5,Mixed,13,5,4415.53,4255.15,160.38
163,Silver,Organic,37.5,Mixed,8,3,2977.86,2889.09,88.77
144,Bronze,Paid,33.3,Mixed,3,1,1596.38,1469.12,127.26
