customer_id,numOfOrders,firstValue,lastValue,drift,promoDependence
68,3,0,0.67,0.67,Increasing Promo Dependent
530,4,0,0.5,0.5,Increasing Promo Dependent
455,7,0,0.43,0.43,Increasing Promo Dependent
408,13,0,0.38,0.38,Increasing Promo Dependent
330,3,0,0.33,0.33,Increasing Promo Dependent
240,3,0,0.33,0.33,Increasing Promo Dependent
310,3,0,0.33,0.33,Increasing Promo Dependent
144,3,0,0.33,0.33,Increasing Promo Dependent
175,3,0,0.33,0.33,Increasing Promo Dependent
199,6,0,0.33,0.33,Increasing Promo Dependent
212,3,0,0.33,0.33,Increasing Promo Dependent
456,3,0,0.33,0.33,Increasing Promo Dependent
445,6,0,0.33,0.33,Increasing Promo Dependent
463,3,0,0.33,0.33,Increasing Promo Dependent
549,3,0,0.33,0.33,Increasing Promo Dependent
596,3,0,0.33,0.33,Increasing Promo Dependent
645,3,0,0.33,0.33,Increasing Promo Dependent
646,3,0,0.33,0.33,Increasing Promo Dependent
741,3,0,0.33,0.33,Increasing Promo Dependent
779,3,0,0.33,0.33,Increasing Promo Dependent
803,3,0,0.33,0.33,Increasing Promo Dependent
842,6,0,0.33,0.33,Increasing Promo Dependent
852,3,0,0.33,0.33,Increasing Promo Dependent
899,3,0,0.33,0.33,Increasing Promo Dependent
920,6,0,0.33,0.33,Increasing Promo Dependent
924,6,0,0.33,0.33,Increasing Promo Dependent
1081,3,0,0.33,0.33,Increasing Promo Dependent
1128,6,0,0.33,0.33,Increasing Promo Dependent
1172,3,0,0.33,0.33,Increasing Promo Dependent
1193,6,0,0.33,0.33,Increasing Promo Dependent
1184,7,0,0.29,0.29,Increasing Promo Dependent
1008,7,0,0.29,0.29,Increasing Promo Dependent
1014,7,0,0.29,0.29,Increasing Promo Dependent
663,7,0,0.29,0.29,Increasing Promo Dependent
494,17,0,0.29,0.29,Increasing Promo Dependent
1190,11,0,0.27,0.27,Increasing Promo Dependent
1173,8,0,0.25,0.25,Increasing Promo Dependent
1089,8,0,0.25,0.25,Increasing Promo Dependent
1059,4,0,0.25,0.25,Increasing Promo Dependent
922,8,0,0.25,0.25,Increasing Promo Dependent
927,4,0,0.25,0.25,Increasing Promo Dependent
900,4,0,0.25,0.25,Increasing Promo Dependent
544,4,0,0.25,0.25,Increasing Promo Dependent
511,4,0,0.25,0.25,Increasing Promo Dependent
652,4,0,0.25,0.25,Increasing Promo Dependent
667,4,0,0.25,0.25,Increasing Promo Dependent
692,8,0,0.25,0.25,Increasing Promo Dependent
770,8,0,0.25,0.25,Increasing Promo Dependent
771,4,0,0.25,0.25,Increasing Promo Dependent
644,4,0,0.25,0.25,Increasing Promo Dependent
854,4,0,0.25,0.25,Increasing Promo Dependent
879,4,0,0.25,0.25,Increasing Promo Dependent
797,4,0,0.25,0.25,Increasing Promo Dependent
828,4,0,0.25,0.25,Increasing Promo Dependent
208,12,0,0.25,0.25,Increasing Promo Dependent
219,4,0,0.25,0.25,Increasing Promo Dependent
185,8,0,0.25,0.25,Increasing Promo Dependent
138,12,0,0.25,0.25,Increasing Promo Dependent
64,4,0,0.25,0.25,Increasing Promo Dependent
65,16,0,0.25,0.25,Increasing Promo Dependent
101,12,0,0.25,0.25,Increasing Promo Dependent
268,4,0,0.25,0.25,Increasing Promo Dependent
423,8,0,0.25,0.25,Increasing Promo Dependent
316,13,0,0.23,0.23,Increasing Promo Dependent
174,22,0,0.23,0.23,Increasing Promo Dependent
554,13,0,0.23,0.23,Increasing Promo Dependent
553,9,0,0.22,0.22,Increasing Promo Dependent
625,9,0,0.22,0.22,Increasing Promo Dependent
474,9,0,0.22,0.22,Increasing Promo Dependent
469,23,0,0.22,0.22,Increasing Promo Dependent
324,9,0,0.22,0.22,Increasing Promo Dependent
1104,9,0,0.22,0.22,Increasing Promo Dependent
1115,9,0,0.22,0.22,Increasing Promo Dependent
761,14,0,0.21,0.21,Increasing Promo Dependent
762,19,0,0.21,0.21,Increasing Promo Dependent
750,15,0,0.2,0.2,Increasing Promo Dependent
708,5,0,0.2,0.2,Increasing Promo Dependent
689,5,0,0.2,0.2,Increasing Promo Dependent
698,10,0,0.2,0.2,Increasing Promo Dependent
792,5,0,0.2,0.2,Increasing Promo Dependent
785,5,0,0.2,0.2,Increasing Promo Dependent
760,5,0,0.2,0.2,Increasing Promo Dependent
857,5,0,0.2,0.2,Increasing Promo Dependent
447,5,0,0.2,0.2,Increasing Promo Dependent
486,5,0,0.2,0.2,Increasing Promo Dependent
498,5,0,0.2,0.2,Increasing Promo Dependent
521,5,0,0.2,0.2,Increasing Promo Dependent
525,5,0,0.2,0.2,Increasing Promo Dependent
539,5,0,0.2,0.2,Increasing Promo Dependent
657,15,0,0.2,0.2,Increasing Promo Dependent
574,5,0,0.2,0.2,Increasing Promo Dependent
577,20,0,0.2,0.2,Increasing Promo Dependent
262,5,0,0.2,0.2,Increasing Promo Dependent
251,5,0,0.2,0.2,Increasing Promo Dependent
246,5,0,0.2,0.2,Increasing Promo Dependent
387,10,0,0.2,0.2,Increasing Promo Dependent
373,5,0,0.2,0.2,Increasing Promo Dependent
139,5,0,0.2,0.2,Increasing Promo Dependent
171,5,0,0.2,0.2,Increasing Promo Dependent
57,10,0,0.2,0.2,Increasing Promo Dependent
8,5,0,0.2,0.2,Increasing Promo Dependent
41,5,0,0.2,0.2,Increasing Promo Dependent
1137,20,0,0.2,0.2,Increasing Promo Dependent
1138,5,0,0.2,0.2,Increasing Promo Dependent
1153,5,0,0.2,0.2,Increasing Promo Dependent
1075,5,0,0.2,0.2,Increasing Promo Dependent
885,5,0,0.2,0.2,Increasing Promo Dependent
938,5,0,0.2,0.2,Increasing Promo Dependent
1054,5,0,0.2,0.2,Increasing Promo Dependent
1007,5,0,0.2,0.2,Increasing Promo Dependent
1048,5,0,0.2,0.2,Increasing Promo Dependent
1171,11,0,0.18,0.18,Increasing Promo Dependent
21,11,0,0.18,0.18,Increasing Promo Dependent
353,11,0,0.18,0.18,Increasing Promo Dependent
427,11,0,0.18,0.18,Increasing Promo Dependent
871,22,0,0.18,0.18,Increasing Promo Dependent
789,11,0,0.18,0.18,Increasing Promo Dependent
788,6,0,0.17,0.17,Increasing Promo Dependent
841,6,0,0.17,0.17,Increasing Promo Dependent
754,6,0,0.17,0.17,Increasing Promo Dependent
591,12,0,0.17,0.17,Increasing Promo Dependent
647,6,0,0.17,0.17,Increasing Promo Dependent
622,6,0,0.17,0.17,Increasing Promo Dependent
640,6,0,0.17,0.17,Increasing Promo Dependent
493,18,0,0.17,0.17,Increasing Promo Dependent
404,12,0,0.17,0.17,Increasing Promo Dependent
357,6,0,0.17,0.17,Increasing Promo Dependent
374,6,0,0.17,0.17,Increasing Promo Dependent
338,6,0,0.17,0.17,Increasing Promo Dependent
245,6,0,0.17,0.17,Increasing Promo Dependent
271,6,0,0.17,0.17,Increasing Promo Dependent
281,6,0,0.17,0.17,Increasing Promo Dependent
47,6,0,0.17,0.17,Increasing Promo Dependent
48,6,0,0.17,0.17,Increasing Promo Dependent
31,6,0,0.17,0.17,Increasing Promo Dependent
105,6,0,0.17,0.17,Increasing Promo Dependent
66,18,0,0.17,0.17,Increasing Promo Dependent
145,6,0,0.17,0.17,Increasing Promo Dependent
148,6,0,0.17,0.17,Increasing Promo Dependent
157,12,0,0.17,0.17,Increasing Promo Dependent
189,35,0,0.17,0.17,Increasing Promo Dependent
1195,6,0,0.17,0.17,Increasing Promo Dependent
1122,6,0,0.17,0.17,Increasing Promo Dependent
1072,6,0,0.17,0.17,Increasing Promo Dependent
952,6,0,0.17,0.17,Increasing Promo Dependent
895,6,0,0.17,0.17,Increasing Promo Dependent
1199,19,0,0.16,0.16,Increasing Promo Dependent
1188,13,0,0.15,0.15,Increasing Promo Dependent
1126,13,0,0.15,0.15,Increasing Promo Dependent
966,13,0,0.15,0.15,Increasing Promo Dependent
1047,13,0,0.15,0.15,Increasing Promo Dependent
517,13,0,0.15,0.15,Increasing Promo Dependent
528,13,0,0.15,0.15,Increasing Promo Dependent
509,13,0,0.15,0.15,Increasing Promo Dependent
592,13,0,0.15,0.15,Increasing Promo Dependent
558,13,0,0.15,0.15,Increasing Promo Dependent
566,7,0,0.14,0.14,Increasing Promo Dependent
516,21,0,0.14,0.14,Increasing Promo Dependent
485,21,0,0.14,0.14,Increasing Promo Dependent
459,7,0,0.14,0.14,Increasing Promo Dependent
680,14,0,0.14,0.14,Increasing Promo Dependent
872,7,0,0.14,0.14,Increasing Promo Dependent
881,7,0,0.14,0.14,Increasing Promo Dependent
200,7,0,0.14,0.14,Increasing Promo Dependent
88,7,0,0.14,0.14,Increasing Promo Dependent
50,7,0,0.14,0.14,Increasing Promo Dependent
53,7,0,0.14,0.14,Increasing Promo Dependent
282,7,0,0.14,0.14,Increasing Promo Dependent
344,7,0,0.14,0.14,Increasing Promo Dependent
345,7,0,0.14,0.14,Increasing Promo Dependent
405,14,0,0.14,0.14,Increasing Promo Dependent
1036,21,0,0.14,0.14,Increasing Promo Dependent
1012,7,0,0.14,0.14,Increasing Promo Dependent
997,7,0,0.14,0.14,Increasing Promo Dependent
1000,7,0,0.14,0.14,Increasing Promo Dependent
1006,14,0,0.14,0.14,Increasing Promo Dependent
946,14,0,0.14,0.14,Increasing Promo Dependent
1109,7,0,0.14,0.14,Increasing Promo Dependent
1192,16,0,0.13,0.13,Increasing Promo Dependent
943,16,0,0.13,0.13,Increasing Promo Dependent
891,8,0,0.13,0.13,Increasing Promo Dependent
1045,8,0,0.13,0.13,Increasing Promo Dependent
1051,15,0,0.13,0.13,Increasing Promo Dependent
420,8,0,0.13,0.13,Increasing Promo Dependent
421,16,0,0.13,0.13,Increasing Promo Dependent
412,8,0,0.13,0.13,Increasing Promo Dependent
417,15,0,0.13,0.13,Increasing Promo Dependent
379,8,0,0.13,0.13,Increasing Promo Dependent
252,15,0,0.13,0.13,Increasing Promo Dependent
259,15,0,0.13,0.13,Increasing Promo Dependent
18,16,0,0.13,0.13,Increasing Promo Dependent
22,8,0,0.13,0.13,Increasing Promo Dependent
5,8,0,0.13,0.13,Increasing Promo Dependent
93,23,0,0.13,0.13,Increasing Promo Dependent
91,8,0,0.13,0.13,Increasing Promo Dependent
215,8,0,0.13,0.13,Increasing Promo Dependent
802,8,0,0.13,0.13,Increasing Promo Dependent
844,16,0,0.13,0.13,Increasing Promo Dependent
849,8,0,0.13,0.13,Increasing Promo Dependent
794,8,0,0.13,0.13,Increasing Promo Dependent
765,16,0,0.13,0.13,Increasing Promo Dependent
733,8,0,0.13,0.13,Increasing Promo Dependent
740,16,0,0.13,0.13,Increasing Promo Dependent
506,8,0,0.13,0.13,Increasing Promo Dependent
501,8,0,0.13,0.13,Increasing Promo Dependent
600,8,0,0.13,0.13,Increasing Promo Dependent
322,17,0,0.12,0.12,Increasing Promo Dependent
1067,17,0,0.12,0.12,Increasing Promo Dependent
1073,9,0,0.11,0.11,Increasing Promo Dependent
